n;Thomas Algorithm No -O3;
100;46;
1099;446;
2098;946;
3097;1491;
4096;1756;
5095;2279;
6094;2566;
7093;3004;
8092;3607;
9091;3894;
10090;4291;
11089;5320;
12088;6408;
13087;6171;
14086;6007;
15085;6367;
16084;6587;
17083;6865;
18082;8054;
19081;8685;
20080;9239;
21079;9795;
22078;10308;
23077;10688;
24076;11069;
25075;11633;
26074;10920;
27073;10897;
28072;11670;
29071;11667;
30070;12119;
31069;12596;
32068;13082;
33067;13283;
34066;13842;
35065;14184;
36064;14364;
37063;15012;
38062;15155;
39061;15551;
40060;16023;
41059;16325;
42058;16626;
43057;16931;
44056;17561;
45055;23567;
46054;21298;
47053;22254;
48052;20818;
49051;21840;
50050;23467;
51049;22484;
52048;24336;
53047;24097;
54046;26486;
55045;24804;
56044;27002;
57043;25498;
58042;26700;
59041;27750;
60040;28413;
61039;28671;
62038;28742;
63037;27837;
64036;29484;
65035;30466;
66034;31911;
67033;32603;
68032;33341;
69031;33737;
70030;34750;
71029;33422;
72028;33502;
73027;34502;
74026;34334;
75025;34202;
76024;34504;
77023;34189;
78022;38833;
79021;35998;
80020;36223;
81019;35485;
82018;35042;
83017;37102;
84016;41382;
85015;40006;
86014;42453;
87013;38864;
88012;42690;
89011;41366;
90010;39834;
91009;42803;
92008;43894;
93007;42132;
94006;43871;
95005;45820;
96004;43872;
97003;42659;
98002;47278;
99001;45410;

