n;Thomas Algorithm -O3;
100;5;
1099;54;
2098;83;
3097;218;
4096;280;
5095;280;
6094;302;
7093;332;
8092;426;
9091;512;
10090;464;
11089;662;
12088;575;
13087;712;
14086;680;
15085;943;
16084;665;
17083;1019;
18082;1050;
19081;741;
20080;1099;
21079;990;
22078;822;
23077;1185;
24076;1237;
25075;895;
26074;1050;
27073;1297;
28072;1342;
29071;1388;
30070;1399;
31069;1444;
32068;1436;
33067;1470;
34066;1528;
35065;1597;
36064;1619;
37063;1664;
38062;1703;
39061;1779;
40060;1786;
41059;1939;
42058;1877;
43057;1953;
44056;2262;
45055;2002;
46054;2348;
47053;2152;
48052;2802;
49051;2443;
50050;2181;
51049;2578;
52048;2277;
53047;2631;
54046;2573;
55045;2334;
56044;2804;
57043;2886;
58042;2879;
59041;2936;
60040;2533;
61039;2566;
62038;2656;
63037;2890;
64036;3034;
65035;3111;
66034;3115;
67033;3091;
68032;3169;
69031;3207;
70030;3242;
71029;3250;
72028;3287;
73027;3295;
74026;3296;
75025;3340;
76024;3385;
77023;3424;
78022;3409;
79021;3450;
80020;3089;
81019;3558;
82018;3593;
83017;3581;
84016;2640;
85015;3807;
86014;3767;
87013;4086;
88012;3398;
89011;3969;
90010;3765;
91009;2885;
92008;4107;
93007;3906;
94006;2898;
95005;4223;
96004;4266;
97003;3913;
98002;2981;
99001;4099;

