n;Sparse QR;
100;34;
1099;671;
2098;1762;
3097;4402;
4096;6570;
5095;9640;
6094;12407;
7093;16011;
8092;23235;
9091;29577;
10090;36182;
11089;43551;
12088;48419;
13087;55611;
14086;60919;
15085;71332;
16084;78303;
17083;88157;
18082;100031;
19081;107116;
20080;119045;
21079;129668;
22078;142289;
23077;156871;
24076;169105;
25075;185068;
26074;197018;
27073;208360;
28072;220925;
29071;242799;
30070;261654;
31069;274467;
32068;292359;
33067;313778;
34066;326444;
35065;348407;
36064;373361;
37063;390966;
38062;409178;
39061;445215;
40060;472924;
41059;495349;
42058;515361;
43057;551934;
44056;572696;
45055;602496;
46054;633497;
47053;655263;
48052;695325;
49051;731812;
50050;767046;
51049;776556;
52048;824669;
53047;857177;
54046;890488;
55045;935089;
56044;938883;
57043;960036;
58042;1003333;
59041;1100101;
60040;1087101;
61039;1123949;
62038;1166819;
63037;1230029;
64036;1255103;
65035;1297278;
66034;1344136;
67033;1416908;
68032;1439108;
69031;1480880;
70030;1540382;
71029;1596468;
72028;1634878;
73027;1695410;
74026;1771361;
75025;1803208;
76024;1873971;
77023;1861145;
78022;1914865;
79021;2032427;
80020;2080153;
81019;2166122;
82018;2206502;
83017;2239595;
84016;2408002;
85015;2390644;
86014;2460725;
87013;2477265;
88012;2996714;
89011;3056084;
90010;2986146;
91009;3022358;
92008;3050386;
93007;3150085;
94006;3212254;
95005;3278771;
96004;3338798;
97003;3378808;
98002;3435076;
99001;3580124;

