n;Thomas Algorithm;
100;1;
1099;20;
2098;38;
3097;76;
4096;132;
5095;192;
6094;223;
7093;356;
8092;399;
9091;450;
10090;420;
11089;721;
12088;541;
13087;785;
14086;654;
15085;930;
16084;792;
17083;1092;
18082;1107;
19081;947;
20080;1135;
21079;1319;
22078;1377;
23077;1439;
24076;1492;
25075;1563;
26074;2000;
27073;1628;
28072;1971;
29071;1830;
30070;1878;
31069;1868;
32068;2098;
33067;2095;
34066;2116;
35065;2353;
36064;2469;
37063;2276;
38062;2651;
39061;2665;
40060;2479;
41059;2636;
42058;2813;
43057;2933;
44056;3028;
45055;3113;
46054;3277;
47053;3312;
48052;3325;
49051;3308;
50050;3369;
51049;3260;
52048;3469;
53047;3346;
54046;3279;
55045;3784;
56044;4081;
57043;4025;
58042;4874;
59041;3623;
60040;4048;
61039;4013;
62038;3945;
63037;4543;
64036;4221;
65035;4194;
66034;3967;
67033;4595;
68032;4269;
69031;4228;
70030;4233;
71029;4516;
72028;4220;
73027;4590;
74026;4385;
75025;4720;
76024;4733;
77023;4807;
78022;5305;
79021;5632;
80020;5369;
81019;5328;
82018;5193;
83017;5505;
84016;5216;
85015;5372;
86014;5331;
87013;5419;
88012;5425;
89011;5618;
90010;5328;
91009;5572;
92008;5685;
93007;5714;
94006;5555;
95005;6028;
96004;5929;
97003;5775;
98002;5769;
99001;6034;

