n;Sherman Morrison No -O3;
10;11;
1009;995;
2008;1630;
3007;2513;
4006;3335;
5005;4748;
6004;5649;
7003;6385;
8002;7265;
9001;7971;
10000;8972;
10999;9960;
11998;10626;
12997;11498;
13996;12942;
14995;13230;
15994;13906;
16993;14845;
17992;16385;
18991;25124;
19990;20888;
20989;20376;
21988;20608;
22987;20508;
23986;21539;
24985;22180;
25984;22832;
26983;23743;
27982;24897;
28981;25250;
29980;25933;
30979;26899;
31978;30975;
32977;29241;
33976;29253;
34975;29655;
35974;30389;
36973;32568;
37972;33148;
38971;32933;
39970;35222;
40969;36149;
41968;35663;
42967;36265;
43966;37379;
44965;38158;
45964;39238;
46963;39928;
47962;40909;
48961;42215;
49960;43857;
50959;45582;
51958;48519;
52957;51348;
53956;53441;
54955;56689;
55954;56015;
56953;61082;
57952;56081;
58951;53401;
59950;53765;
60949;54260;
61948;54540;
62947;60404;
63946;60938;
64945;65366;
65944;65854;
66943;68224;
67942;63030;
68941;61428;
69940;61807;
70939;62443;
71938;63255;
72937;71122;
73936;74619;
74935;88851;
75934;75621;
76933;71804;
77932;69854;
78931;70884;
79930;71209;
80929;71722;
81928;72796;
82927;74797;
83926;73909;
84925;74528;
85924;76152;
86923;79492;
87922;87261;
88921;87533;
89920;85836;
90919;81757;
91918;81949;
92917;81917;
93916;82594;
94915;83477;
95914;89715;
96913;98327;
97912;92598;
98911;97778;

