n;Sherman Morrison;
10;1;
1009;151;
2008;411;
3007;468;
4006;468;
5005;561;
6004;543;
7003;482;
8002;791;
9001;588;
10000;976;
10999;843;
11998;897;
12997;1286;
13996;1221;
14995;1244;
15994;1094;
16993;1316;
17992;1471;
18991;1682;
19990;1851;
20989;1821;
21988;1823;
22987;2128;
23986;2007;
24985;2436;
25984;2151;
26983;2638;
27982;2835;
28981;2994;
29980;3111;
30979;3042;
31978;3154;
32977;3310;
33976;3474;
34975;3385;
35974;2897;
36973;3130;
37972;3233;
38971;3405;
39970;3314;
40969;3791;
41968;3451;
42967;3510;
43966;3807;
44965;3654;
45964;3553;
46963;3791;
47962;4361;
48961;3628;
49960;4064;
50959;3853;
51958;4551;
52957;4474;
53956;3891;
54955;4483;
55954;4572;
56953;3888;
57952;4913;
58951;3895;
59950;4971;
60949;4668;
61948;5030;
62947;4755;
63946;5638;
64945;4148;
65944;5247;
66943;4991;
67942;5011;
68941;6812;
69940;6694;
70939;5573;
71938;5591;
72937;5264;
73936;4858;
74935;6051;
75934;5376;
76933;5535;
77932;5676;
78931;5699;
79930;6306;
80929;5549;
81928;5742;
82927;6112;
83926;6210;
84925;6715;
85924;6290;
86923;6808;
87922;6387;
88921;6363;
89920;6296;
90919;6605;
91918;7130;
92917;7140;
93916;7315;
94915;6382;
95914;6925;
96913;7035;
97912;6697;
98911;6883;

