n;Sherman Morrison;
100;3;
1099;36;
2098;83;
3097;142;
4096;201;
5095;268;
6094;335;
7093;412;
8092;484;
9091;570;
10090;642;
11089;731;
12088;823;
13087;899;
14086;971;
15085;1059;
16084;1129;
17083;1192;
18082;1274;
19081;1356;
20080;1426;
21079;1483;
22078;1621;
23077;1680;
24076;1731;
25075;1817;
26074;1850;
27073;1950;
28072;2047;
29071;2127;
30070;2158;
31069;2272;
32068;2320;
33067;2437;
34066;2514;
35065;2560;
36064;2646;
37063;2731;
38062;2788;
39061;2324;
40060;2446;
41059;2623;
42058;2759;
43057;2884;
44056;2901;
45055;3030;
46054;2798;
47053;3084;
48052;3240;
49051;3363;
50050;3467;
51049;3532;
52048;3604;
53047;3684;
54046;3714;
55045;3799;
56044;3888;
57043;3969;
58042;3999;
59041;4139;
60040;4169;
61039;4241;
62038;4326;
63037;4394;
64036;4463;
65035;4564;
66034;4617;
67033;4717;
68032;4743;
69031;4813;
70030;4889;
71029;5015;
72028;5035;
73027;5114;
74026;5133;
75025;5244;
76024;5312;
77023;5375;
78022;5463;
79021;5533;
80020;5609;
81019;5727;
82018;5781;
83017;5811;
84016;5907;
85015;5970;
86014;6145;
87013;6187;
88012;6279;
89011;6279;
90010;6376;
91009;6439;
92008;6494;
93007;6234;
94006;6927;
95005;7161;
96004;7260;
97003;7341;
98002;7373;
99001;7452;

