N;Approx
0;1220.17
1;455.697
2;285.798
3;208.998
4;166.537
5;139.868
6;121.534
7;108.101
8;97.8058
9;89.649
10;83.0202
11;77.5214
12;72.8804
13;68.9045
14;65.4533
15;62.4222
16;59.7322
17;57.3224
18;55.1456
19;53.1644
20;51.3493
21;49.6763
22;48.1261
23;46.6828
24;45.3334
25;44.0668
26;42.8739
27;41.747
28;40.6795
29;39.6657
30;38.7007
31;37.7803
32;36.9008
33;36.0589
34;35.2518
35;34.477
36;33.7322
37;33.0154
38;32.3247
39;31.6586
40;31.0156
41;30.3944
42;29.7938
43;29.2126
44;28.6498
45;28.1045
46;27.576
47;27.0633
48;26.5658
49;26.0827
50;25.6135
51;25.1576
52;24.7144
53;24.2835
54;23.8643
55;23.4564
56;23.0594
57;22.6728
58;22.2964
59;21.9297
60;21.5724
61;21.2242
62;20.8848
63;20.5539
64;20.2312
65;19.9165
66;19.6095
67;19.31
68;19.0177
69;18.7325
70;18.454
71;18.1822
72;17.9167
73;17.6575
74;17.4043
75;17.157
76;16.9154
77;16.6793
78;16.4486
79;16.2232
80;16.0028
81;15.7873
82;15.5767
83;15.3707
84;15.1693
85;14.9723
86;14.7795
87;14.591
88;14.4066
89;14.2261
90;14.0494
91;13.8765
92;13.7073
93;13.5417
94;13.3794
95;13.2206
96;13.0651
97;12.9127
98;12.7635
99;12.6173
100;12.4741
101;12.3337
102;12.1962
103;12.0614
104;11.9293
105;11.7998
106;11.6728
107;11.5483
108;11.4262
109;11.3064
110;11.189
111;11.0738
112;10.9607
113;10.8498
114;10.741
115;10.6342
116;10.5294
117;10.4265
118;10.3255
119;10.2263
120;10.1289
121;10.0333
122;9.93935
123;9.8471
124;9.75648
125;9.66746
126;9.57999
127;9.49404
128;9.40957
129;9.32656
130;9.24496
131;9.16475
132;9.08589
133;9.00835
134;8.93211
135;8.85713
136;8.78339
137;8.71085
138;8.6395
139;8.5693
140;8.50023
141;8.43227
142;8.36539
143;8.29956
144;8.23477
145;8.171
146;8.10821
147;8.04639
148;7.98553
149;7.92559
150;7.86656
151;7.80842
152;7.75115
153;7.69473
154;7.63915
155;7.58439
156;7.53043
157;7.47726
158;7.42485
159;7.37319
160;7.32227
161;7.27208
162;7.22259
163;7.1738
164;7.12568
165;7.07824
166;7.03144
167;6.98529
168;6.93976
169;6.89484
170;6.85053
171;6.80681
172;6.76367
173;6.7211
174;6.67909
175;6.63762
176;6.59668
177;6.55627
178;6.51638
179;6.47699
180;6.4381
181;6.3997
182;6.36177
183;6.32431
184;6.28731
185;6.25076
186;6.21465
