N;Approx
0;1349.23
1;496.837
2;311.048
3;230.249
4;184.212
5;160.63
6;157.024
7;135.998
8;134.944
9;115.127
10;113.251
11;112.15
12;93.6866
13;90.9184
14;90.1876
15;89.9228
16;72.2501
17;67.3248
18;66.197
19;65.9073
20;65.7629
21;43.623
22;42.3317
23;42.0089
24;41.9268
25;41.9058
26;41.8999
27;40.7943
28;19.8648
29;18.456
30;18.101
31;18.0099
32;17.9864
33;17.9804
34;17.9788
35;17.9784
36;17.9783
37;17.9783
38;17.9783
39;17.9783
40;17.9783
41;17.9783
42;17.9783
43;17.9783
44;17.9783
45;17.9783
46;17.9783
47;17.9783
48;17.9783
49;17.9782
50;17.9769
51;17.9614
52;17.7669
53;15.6614
54;7.86202
55;2.83387
56;1.00422
57;0.371847
58;0.152883
59;0.0749999
60;0.045389
61;0.0325491
62;0.0257705
63;0.0213818
64;0.018096
65;0.0154375
66;0.0132103
67;0.0113174
68;0.00969953
69;0.00831373
70;0.00712587
71;0.00610747
72;0.00523435
73;0.00448583
74;0.00384417
75;0.00329417
76;0.00282277
77;0.00241875
78;0.0020725
79;0.00177579
80;0.00152152
81;0.00130364
82;0.00111694
83;0.00095697
84;0.0008199
85;0.000702456
86;0.00060183
87;0.000515613
88;0.000441744
89;0.000378455
90;0.000324231
91;0.000277773
92;0.00023797
93;0.000203869
94;0.000174653
95;0.000149622
96;0.000128177
97;0.000109804
98;9.40634e-05
99;8.05777e-05
100;6.9024e-05
101;5.91256e-05
102;5.06453e-05
103;4.33799e-05
104;3.71554e-05
105;3.18227e-05
106;2.7254e-05
107;2.33399e-05
108;1.99865e-05
109;1.71136e-05
110;1.46523e-05
111;1.25436e-05
112;1.07371e-05
113;9.18933e-06
114;7.86335e-06
115;6.72734e-06
116;5.75409e-06
117;4.92027e-06
118;4.20593e-06
119;3.59392e-06
120;3.0696e-06
121;2.62041e-06
122;2.23556e-06
123;1.90586e-06
124;1.6234e-06
125;1.3814e-06
126;1.17407e-06
127;9.96453e-07
128;8.44281e-07
129;7.13909e-07
130;6.02217e-07
131;5.06528e-07
132;4.24548e-07
133;3.54315e-07
134;2.94142e-07
135;2.42592e-07
136;1.98427e-07
137;1.60589e-07
138;1.28173e-07
139;1.00403e-07
140;7.66081e-08
141;5.6225e-08
142;3.87613e-08
143;2.37987e-08
144;1.09817e-08
