N;Approx
0;13.9692
1;0.197176
2;0.0930563
3;0.0818677
4;0.0774558
5;0.0736493
6;0.0695148
7;0.0649015
8;0.0598339
9;0.0544052
10;0.0487511
11;0.043034
12;0.0374234
13;0.032077
14;0.0271231
15;0.0226506
16;0.0187067
17;0.0153004
18;0.0124109
19;0.00999689
20;0.00800581
21;0.00638081
22;0.00506599
23;0.00400955
24;0.00316548
25;0.00249411
26;0.00196202
27;0.00154151
28;0.00120993
29;0.000948932
30;0.000743776
31;0.000582693
32;0.000456324
33;0.000357254
34;0.000279627
35;0.000218827
36;0.000171222
37;0.000133959
38;0.000104795
39;8.1975e-05
40;6.41203e-05
41;5.0152e-05
42;3.92251e-05
43;3.06778e-05
44;2.39922e-05
45;1.8763e-05
46;1.4673e-05
47;1.14741e-05
48;8.97229e-06
49;7.0156e-06
50;5.48529e-06
51;4.28846e-06
52;3.35245e-06
53;2.62042e-06
54;2.04792e-06
55;1.60018e-06
56;1.25002e-06
57;9.76177e-07
58;7.62011e-07
59;5.94519e-07
60;4.6353e-07
61;3.61089e-07
62;2.80974e-07
63;2.18318e-07
64;1.69318e-07
65;1.30997e-07
66;1.01028e-07
67;7.75896e-08
68;5.92597e-08
69;4.49246e-08
70;3.37137e-08
71;2.49461e-08
72;1.80894e-08
73;1.27269e-08
74;8.53321e-09
75;5.25344e-09
76;2.68848e-09
77;6.82544e-10
78;8.86252e-10
79;2.11311e-09
80;3.07264e-09
81;3.82302e-09
82;4.40986e-09
83;4.86879e-09
84;5.22771e-09
85;5.50845e-09
86;5.72796e-09
87;5.89962e-09
88;6.0339e-09
89;6.13889e-09
