x;y
-5;0.0384615
-4.98043;0.0387526
-4.96086;0.039047
-4.94129;0.0393447
-4.92172;0.0396458
-4.90215;0.0399503
-4.88258;0.0402583
-4.86301;0.0405698
-4.84344;0.0408848
-4.82387;0.0412035
-4.80431;0.0415259
-4.78474;0.041852
-4.76517;0.042182
-4.7456;0.0425158
-4.72603;0.0428535
-4.70646;0.0431952
-4.68689;0.0435409
-4.66732;0.0438907
-4.64775;0.0442447
-4.62818;0.0446029
-4.60861;0.0449655
-4.58904;0.0453324
-4.56947;0.0457037
-4.5499;0.0460795
-4.53033;0.04646
-4.51076;0.046845
-4.49119;0.0472348
-4.47162;0.0476294
-4.45205;0.0480289
-4.43249;0.0484334
-4.41292;0.0488428
-4.39335;0.0492575
-4.37378;0.0496773
-4.35421;0.0501024
-4.33464;0.0505329
-4.31507;0.0509689
-4.2955;0.0514104
-4.27593;0.0518576
-4.25636;0.0523106
-4.23679;0.0527693
-4.21722;0.0532341
-4.19765;0.0537049
-4.17808;0.0541818
-4.15851;0.054665
-4.13894;0.0551546
-4.11937;0.0556507
-4.0998;0.0561533
-4.08023;0.0566626
-4.06067;0.0571788
-4.0411;0.0577019
-4.02153;0.058232
-4.00196;0.0587694
-3.98239;0.0593141
-3.96282;0.0598662
-3.94325;0.0604258
-3.92368;0.0609932
-3.90411;0.0615685
-3.88454;0.0621517
-3.86497;0.0627431
-3.8454;0.0633428
-3.82583;0.0639509
-3.80626;0.0645676
-3.78669;0.0651931
-3.76712;0.0658275
-3.74755;0.066471
-3.72798;0.0671237
-3.70841;0.0677859
-3.68885;0.0684576
-3.66928;0.0691391
-3.64971;0.0698307
-3.63014;0.0705323
-3.61057;0.0712444
-3.591;0.071967
-3.57143;0.0727003
-3.55186;0.0734446
-3.53229;0.0742001
-3.51272;0.074967
-3.49315;0.0757455
-3.47358;0.0765359
-3.45401;0.0773383
-3.43444;0.0781531
-3.41487;0.0789805
-3.3953;0.0798207
-3.37573;0.0806739
-3.35616;0.0815405
-3.33659;0.0824208
-3.31703;0.0833149
-3.29746;0.0842232
-3.27789;0.0851459
-3.25832;0.0860835
-3.23875;0.0870361
-3.21918;0.0880041
-3.19961;0.0889878
-3.18004;0.0899875
-3.16047;0.0910037
-3.1409;0.0920365
-3.12133;0.0930864
-3.10176;0.0941538
-3.08219;0.0952389
-3.06262;0.0963423
-3.04305;0.0974643
-3.02348;0.0986052
-3.00391;0.0997656
-2.98434;0.100946
-2.96477;0.102146
-2.94521;0.103367
-2.92564;0.10461
-2.90607;0.105874
-2.8865;0.10716
-2.86693;0.108468
-2.84736;0.1098
-2.82779;0.111156
-2.80822;0.112535
-2.78865;0.11394
-2.76908;0.115369
-2.74951;0.116825
-2.72994;0.118307
-2.71037;0.119816
-2.6908;0.121353
-2.67123;0.122918
-2.65166;0.124513
-2.63209;0.126137
-2.61252;0.127791
-2.59295;0.129476
-2.57339;0.131194
-2.55382;0.132944
-2.53425;0.134727
-2.51468;0.136545
-2.49511;0.138398
-2.47554;0.140286
-2.45597;0.142211
-2.4364;0.144174
-2.41683;0.146176
-2.39726;0.148217
-2.37769;0.150299
-2.35812;0.152422
-2.33855;0.154588
-2.31898;0.156797
-2.29941;0.159051
-2.27984;0.161351
-2.26027;0.163697
-2.2407;0.166092
-2.22114;0.168536
-2.20157;0.171031
-2.182;0.173578
-2.16243;0.176178
-2.14286;0.178832
-2.12329;0.181543
-2.10372;0.18431
-2.08415;0.187137
-2.06458;0.190024
-2.04501;0.192973
-2.02544;0.195986
-2.00587;0.199064
-1.9863;0.202208
-1.96673;0.205422
-1.94716;0.208705
-1.92759;0.212061
-1.90802;0.215492
-1.88845;0.218998
-1.86888;0.222582
-1.84932;0.226246
-1.82975;0.229992
-1.81018;0.233823
-1.79061;0.23774
-1.77104;0.241746
-1.75147;0.245843
-1.7319;0.250033
-1.71233;0.254319
-1.69276;0.258703
-1.67319;0.263188
-1.65362;0.267776
-1.63405;0.27247
-1.61448;0.277273
-1.59491;0.282187
-1.57534;0.287216
-1.55577;0.292361
-1.5362;0.297626
-1.51663;0.303014
-1.49706;0.308527
-1.4775;0.31417
-1.45793;0.319944
-1.43836;0.325853
