x;y
-5;0.0406885
-4.96078;0.0408394
-4.92157;0.0411027
-4.88235;0.041386
-4.84314;0.0417299
-4.80392;0.0421714
-4.76471;0.0427114
-4.72549;0.0433233
-4.68627;0.0439724
-4.64706;0.0446306
-4.60784;0.0452844
-4.56863;0.045935
-4.52941;0.0465944
-4.4902;0.0472796
-4.45098;0.0480067
-4.41176;0.0487869
-4.37255;0.0496243
-4.33333;0.0505156
-4.29412;0.051452
-4.2549;0.0524207
-4.21569;0.0534085
-4.17647;0.0544036
-4.13725;0.0553979
-4.09804;0.0563881
-4.05882;0.0573759
-4.01961;0.0583676
-3.98039;0.059373
-3.94118;0.0604042
-3.90196;0.0614737
-3.86275;0.0625929
-3.82353;0.0637713
-3.78431;0.0650147
-3.7451;0.0663257
-3.70588;0.0677031
-3.66667;0.0691422
-3.62745;0.070636
-3.58824;0.0721761
-3.54902;0.0737532
-3.5098;0.0753591
-3.47059;0.076987
-3.43137;0.0786327
-3.39216;0.080295
-3.35294;0.0819761
-3.31373;0.0836814
-3.27451;0.0854193
-3.23529;0.0872007
-3.19608;0.0890382
-3.15686;0.0909451
-3.11765;0.0929347
-3.07843;0.0950196
-3.03922;0.0972103
-3;0.0995153
-2.96078;0.10194
-2.92157;0.104487
-2.88235;0.107157
-2.84314;0.109946
-2.80392;0.11285
-2.76471;0.115861
-2.72549;0.118974
-2.68627;0.12218
-2.64706;0.125474
-2.60784;0.128852
-2.56863;0.132311
-2.52941;0.135854
-2.4902;0.139486
-2.45098;0.143214
-2.41176;0.147052
-2.37255;0.151016
-2.33333;0.155124
-2.29412;0.159398
-2.2549;0.163862
-2.21569;0.16854
-2.17647;0.173454
-2.13725;0.17863
-2.09804;0.184088
-2.05882;0.189848
-2.01961;0.195926
-1.98039;0.202335
-1.94118;0.209084
-1.90196;0.21618
-1.86275;0.223626
-1.82353;0.231424
-1.78431;0.239572
-1.7451;0.248068
-1.70588;0.256912
-1.66667;0.266105
-1.62745;0.275648
-1.58824;0.285548
-1.54902;0.295817
-1.5098;0.306471
-1.47059;0.317534
-1.43137;0.329034
-1.39216;0.341007
-1.35294;0.353494
-1.31373;0.366542
-1.27451;0.380202
-1.23529;0.394527
-1.19608;0.409571
-1.15686;0.425389
-1.11765;0.442029
-1.07843;0.459534
-1.03922;0.477941
-1;0.497271
-0.960784;0.517536
-0.921569;0.53873
-0.882353;0.560827
-0.843137;0.583784
-0.803922;0.607535
-0.764706;0.631992
-0.72549;0.657044
-0.686275;0.682559
-0.647059;0.708382
-0.607843;0.734338
-0.568627;0.760234
-0.529412;0.785861
-0.490196;0.810998
-0.45098;0.835414
-0.411765;0.858873
-0.372549;0.881137
-0.333333;0.901972
-0.294118;0.921151
-0.254902;0.938459
-0.215686;0.953699
-0.176471;0.966689
-0.137255;0.977277
-0.0980392;0.985334
-0.0588235;0.99076
-0.0196078;0.993491
0.0196078;0.993491
0.0588235;0.99076
0.0980392;0.985334
0.137255;0.977277
0.176471;0.966689
0.215686;0.953699
0.254902;0.938459
0.294118;0.921151
0.333333;0.901972
0.372549;0.881137
0.411765;0.858873
0.45098;0.835414
0.490196;0.810998
0.529412;0.785861
0.568627;0.760234
0.607843;0.734338
0.647059;0.708382
0.686275;0.682559
0.72549;0.657044
0.764706;0.631992
0.803922;0.607535
0.843137;0.583784
0.882353;0.560827
0.921569;0.53873
0.960784;0.517536
1;0.497271
1.03922;0.477941
1.07843;0.459534
1.11765;0.442029
1.15686;0.425389
1.19608;0.409571
1.23529;0.394527
1.27451;0.380202
1.31373;0.366542
1.35294;0.353494
1.39216;0.341007
1.43137;0.329034
1.47059;0.317534
1.5098;0.306471
1.54902;0.295817
1.58824;0.285548
1.62745;0.275648
1.66667;0.266105
1.70588;0.256912
1.7451;0.248068
1.78431;0.239572
1.82353;0.231424
1.86275;0.223626
1.90196;0.21618
1.94118;0.209084
1.98039;0.202335
2.01961;0.195926
2.05882;0.189848
2.09804;0.184088
2.13725;0.17863
2.17647;0.173454
2.21569;0.16854
2.2549;0.163862
2.29412;0.159398
2.33333;0.155124
2.37255;0.151016
2.41176;0.147052
2.45098;0.143214
2.4902;0.139486
2.52941;0.135854
2.56863;0.132311
2.60784;0.128852
2.64706;0.125474
2.68627;0.12218
2.72549;0.118974
2.76471;0.115861
2.80392;0.11285
2.84314;0.109946
2.88235;0.107157
2.92157;0.104487
2.96078;0.10194
3;0.0995153
3.03922;0.0972103
3.07843;0.0950196
3.11765;0.0929347
3.15686;0.0909451
3.19608;0.0890382
3.23529;0.0872007
3.27451;0.0854193
3.31373;0.0836814
3.35294;0.0819761
3.39216;0.080295
3.43137;0.0786327
3.47059;0.076987
3.5098;0.0753591
3.54902;0.0737532
3.58824;0.072176
3.62745;0.070636
3.66667;0.0691421
3.70588;0.067703
3.7451;0.0663256
3.78431;0.0650145
3.82353;0.063771
3.86275;0.0625926
3.90196;0.0614732
3.94118;0.0604036
3.98039;0.0593723
4.01961;0.0583666
4.05882;0.0573746
4.09804;0.0563863
4.13725;0.0553955
4.17647;0.0544004
4.21569;0.0534043
4.2549;0.0524151
4.29412;0.0514446
4.33333;0.050506
4.37255;0.0496117
4.41176;0.0487706
4.45098;0.0479855
4.4902;0.047252
4.52941;0.0465587
4.56863;0.0458889
4.60784;0.045225
4.64706;0.0445542
4.68627;0.0438744
4.72549;0.0431979
4.76471;0.0425511
4.80392;0.0419671
4.84314;0.0414699
4.88235;0.0410559
4.92157;0.0406844
4.96078;0.0403104
5;0.0400207
