x;y
-5;-nan
-4.98043;0.0535816
-4.96086;0.0678749
-4.94129;0.0813652
-4.92172;0.0940755
-4.90215;0.106029
-4.88258;0.117247
-4.86301;0.127754
-4.84344;0.137569
-4.82387;0.146715
-4.80431;0.155213
-4.78474;0.163082
-4.76517;0.170345
-4.7456;0.177019
-4.72603;0.183126
-4.70646;0.188684
-4.68689;0.193713
-4.66732;0.19823
-4.64775;0.202255
-4.62818;0.205804
-4.60861;0.208896
-4.58904;0.211548
-4.56947;0.213777
-4.5499;0.215599
-4.53033;0.217031
-4.51076;0.218088
-4.49119;0.218788
-4.47162;0.219144
-4.45205;0.219172
-4.43249;0.218887
-4.41292;0.218303
-4.39335;0.217435
-4.37378;0.216296
-4.35421;0.2149
-4.33464;0.21326
-4.31507;0.21139
-4.2955;0.209302
-4.27593;0.207009
-4.25636;0.204523
-4.23679;0.201856
-4.21722;0.19902
-4.19765;0.196026
-4.17808;0.192885
-4.15851;0.189609
-4.13894;0.186207
-4.11937;0.182691
-4.0998;0.179071
-4.08023;0.175356
-4.06067;0.171556
-4.0411;0.167681
-4.02153;0.163739
-4.00196;0.159741
-3.98239;0.155694
-3.96282;0.151607
-3.94325;0.147489
-3.92368;0.143347
-3.90411;0.139189
-3.88454;0.135023
-3.86497;0.130857
-3.8454;0.126697
-3.82583;0.122551
-3.80626;0.118425
-3.78669;0.114326
-3.76712;0.110261
-3.74755;0.106235
-3.72798;0.102254
-3.70841;0.0983246
-3.68885;0.094452
-3.66928;0.0906417
-3.64971;0.0868989
-3.63014;0.0832286
-3.61057;0.0796356
-3.591;0.0761247
-3.57143;-nan
-3.55186;0.0693668
-3.53229;0.0661283
-3.51272;0.0629887
-3.49315;0.059952
-3.47358;0.0570217
-3.45401;0.0542014
-3.43444;0.0514944
-3.41487;0.0489038
-3.3953;0.0464326
-3.37573;0.0440838
-3.35616;0.04186
-3.33659;0.0397638
-3.31703;0.0377977
-3.29746;0.0359638
-3.27789;0.0342643
-3.25832;0.0327013
-3.23875;0.0312765
-3.21918;0.0299918
-3.19961;0.0288486
-3.18004;0.0278485
-3.16047;0.0269928
-3.1409;0.0262826
-3.12133;0.0257192
-3.10176;0.0253034
-3.08219;0.0250361
-3.06262;0.024918
-3.04305;0.0249497
-3.02348;0.0251318
-3.00391;0.0254645
-2.98434;0.0259483
-2.96477;0.0265832
-2.94521;0.0273694
-2.92564;0.0283067
-2.90607;0.0293951
-2.8865;0.0306344
-2.86693;0.0320241
-2.84736;0.0335639
-2.82779;0.0352533
-2.80822;0.0370916
-2.78865;0.0390782
-2.76908;0.0412122
-2.74951;0.0434929
-2.72994;0.0459192
-2.71037;0.0484901
-2.6908;0.0512045
-2.67123;0.0540612
-2.65166;0.057059
-2.63209;0.0601965
-2.61252;0.0634723
-2.59295;0.066885
-2.57339;0.0704329
-2.55382;0.0741145
-2.53425;0.0779281
-2.51468;0.0818719
-2.49511;0.0859442
-2.47554;0.0901431
-2.45597;0.0944666
-2.4364;0.0989128
-2.41683;0.10348
-2.39726;0.108165
-2.37769;0.112967
-2.35812;0.117883
-2.33855;0.122911
-2.31898;0.128049
-2.29941;0.133294
-2.27984;0.138645
-2.26027;0.144098
-2.2407;0.149651
-2.22114;0.155302
-2.20157;0.161048
-2.182;0.166887
-2.16243;0.172816
-2.14286;-nan
-2.12329;0.184933
-2.10372;0.191116
-2.08415;0.197379
-2.06458;0.203718
-2.04501;0.210131
-2.02544;0.216616
-2.00587;0.223168
-1.9863;0.229786
-1.96673;0.236467
-1.94716;0.243208
-1.92759;0.250005
-1.90802;0.256856
-1.88845;0.263759
-1.86888;0.270709
-1.84932;0.277705
-1.82975;0.284744
-1.81018;0.291821
-1.79061;0.298935
-1.77104;0.306082
-1.75147;0.31326
-1.7319;0.320465
-1.71233;0.327695
-1.69276;0.334947
-1.67319;0.342217
-1.65362;0.349502
-1.63405;0.3568
-1.61448;0.364108
-1.59491;0.371422
-1.57534;0.37874
-1.55577;0.386059
-1.5362;0.393376
-1.51663;0.400687
-1.49706;0.40799
-1.4775;0.415283
-1.45793;0.422561
-1.43836;0.429823
-1.41879;0.437065
-1.39922;0.444285
-1.37965;0.451479
-1.36008;0.458645
-1.34051;0.46578
-1.32094;0.472882
-1.30137;0.479946
-1.2818;0.486972
-1.26223;0.493955
-1.24266;0.500893
-1.22309;0.507784
-1.20352;0.514625
-1.18395;0.521414
-1.16438;0.528146
-1.14481;0.534821
-1.12524;0.541436
-1.10568;0.547987
-1.08611;0.554473
-1.06654;0.560891
-1.04697;0.567238
-1.0274;0.573512
-1.00783;0.579712
-0.988258;0.585833
-0.968689;0.591875
-0.949119;0.597835
-0.92955;0.60371
-0.90998;0.609499
-0.890411;0.615198
-0.870841;0.620807
-0.851272;0.626323
-0.831703;0.631744
-0.812133;0.637068
-0.792564;0.642292
-0.772994;0.647416
-0.753425;0.652437
-0.733855;0.657353
-0.714286;-nan
-0.694716;0.666863
-0.675147;0.671454
-0.655577;0.675933
-0.636008;0.680299
-0.616438;0.684549
-0.596869;0.688683
-0.577299;0.692699
-0.55773;0.696595
-0.53816;0.70037
-0.518591;0.704023
-0.499022;0.707552
-0.479452;0.710956
-0.459883;0.714233
-0.440313;0.717383
-0.420744;0.720405
-0.401174;0.723297
-0.381605;0.726057
-0.362035;0.728687
-0.342466;0.731183
-0.322896;0.733546
-0.303327;0.735774
-0.283757;0.737867
-0.264188;0.739823
-0.244618;0.741643
-0.225049;0.743326
-0.205479;0.74487
-0.18591;0.746276
-0.166341;0.747543
-0.146771;0.74867
-0.127202;0.749657
-0.107632;0.750504
-0.0880626;0.75121
-0.0684932;0.751775
-0.0489237;0.752199
-0.0293542;0.752482
-0.00978474;0.752624
0.00978474;0.752624
0.0293542;0.752482
0.0489237;0.752199
0.0684932;0.751775
0.0880626;0.75121
0.107632;0.750504
0.127202;0.749657
0.146771;0.74867
0.166341;0.747543
0.18591;0.746276
0.205479;0.74487
0.225049;0.743326
0.244618;0.741643
0.264188;0.739823
0.283757;0.737867
0.303327;0.735774
0.322896;0.733546
0.342466;0.731183
0.362035;0.728687
0.381605;0.726057
0.401174;0.723297
0.420744;0.720405
0.440313;0.717383
0.459883;0.714233
0.479452;0.710956
0.499022;0.707552
0.518591;0.704023
0.53816;0.70037
0.55773;0.696595
0.577299;0.692699
0.596869;0.688683
0.616438;0.684549
0.636008;0.680299
0.655577;0.675933
0.675147;0.671454
0.694716;0.666863
0.714286;-nan
0.733855;0.657353
0.753425;0.652437
0.772994;0.647416
0.792564;0.642292
0.812133;0.637068
0.831703;0.631744
0.851272;0.626323
0.870841;0.620807
0.890411;0.615198
0.90998;0.609499
0.92955;0.60371
0.949119;0.597835
0.968689;0.591875
0.988258;0.585833
1.00783;0.579712
1.0274;0.573512
1.04697;0.567238
1.06654;0.560891
1.08611;0.554473
1.10568;0.547987
1.12524;0.541436
1.14481;0.534821
1.16438;0.528146
1.18395;0.521414
1.20352;0.514625
1.22309;0.507784
1.24266;0.500893
1.26223;0.493955
1.2818;0.486972
1.30137;0.479946
1.32094;0.472882
1.34051;0.46578
1.36008;0.458645
1.37965;0.451479
1.39922;0.444285
1.41879;0.437065
1.43836;0.429823
1.45793;0.422561
1.4775;0.415283
1.49706;0.40799
1.51663;0.400687
1.5362;0.393376
1.55577;0.386059
1.57534;0.37874
1.59491;0.371422
1.61448;0.364108
1.63405;0.3568
1.65362;0.349502
1.67319;0.342217
1.69276;0.334947
1.71233;0.327695
1.7319;0.320465
