x;y
-5;0.0384615
-4.96078;0.0679294
-4.92157;0.0941722
-4.88235;0.117375
-4.84314;0.137718
-4.80392;0.155373
-4.76471;0.170508
-4.72549;0.183286
-4.68627;0.193862
-4.64706;0.202388
-4.60784;0.209008
-4.56863;0.213863
-4.52941;0.217089
-4.4902;0.218814
-4.45098;0.219164
-4.41176;0.21826
-4.37255;0.216215
-4.33333;0.213143
-4.29412;0.209147
-4.2549;0.204331
-4.21569;0.198791
-4.17647;0.19262
-4.13725;0.185908
-4.09804;0.178739
-4.05882;0.171194
-4.01961;0.16335
-3.98039;0.155279
-3.94118;0.147051
-3.90196;0.138732
-3.86275;0.130383
-3.82353;0.122065
-3.78431;0.11383
-3.7451;0.105732
-3.70588;0.0978201
-3.66667;0.0901386
-3.62745;0.0827307
-3.58824;0.0756359
-3.54902;0.0688909
-3.5098;0.0625296
-3.47059;0.0565832
-3.43137;0.0510802
-3.39216;0.0460467
-3.35294;0.0415059
-3.31373;0.0374791
-3.27451;0.0339848
-3.23529;0.0310396
-3.19608;0.0286576
-3.15686;0.0268509
-3.11765;0.0256296
-3.07843;0.0250018
-3.03922;0.0249736
-3;0.0255492
-2.96078;0.0267312
-2.92157;0.0285205
-2.88235;0.0309161
-2.84314;0.0339157
-2.80392;0.0375152
-2.76471;0.0417093
-2.72549;0.0464912
-2.68627;0.0518528
-2.64706;0.0577847
-2.60784;0.0642763
-2.56863;0.0713158
-2.52941;0.0788904
-2.4902;0.0869862
-2.45098;0.0955883
-2.41176;0.104681
-2.37255;0.114248
-2.33333;0.124271
-2.29412;0.134732
-2.2549;0.145612
-2.21569;0.156892
-2.17647;0.168552
-2.13725;0.18057
-2.09804;0.192926
-2.05882;0.205597
-2.01961;0.218562
-1.98039;0.231797
-1.94118;0.245281
-1.90196;0.258989
-1.86275;0.2729
-1.82353;0.286988
-1.78431;0.30123
-1.7451;0.315603
-1.70588;0.330082
-1.66667;0.344643
-1.62745;0.359264
-1.58824;0.373919
-1.54902;0.388584
-1.5098;0.403237
-1.47059;0.417854
-1.43137;0.43241
-1.39216;0.446884
-1.35294;0.461251
-1.31373;0.47549
-1.27451;0.489578
-1.23529;0.503493
-1.19608;0.517214
-1.15686;0.530719
-1.11765;0.543987
-1.07843;0.556998
-1.03922;0.569732
-1;0.58217
-0.960784;0.594292
-0.921569;0.606081
-0.882353;0.617519
-0.843137;0.628588
-0.803922;0.639272
-0.764706;0.649555
-0.72549;0.659422
-0.686275;0.668857
-0.647059;0.677847
-0.607843;0.686379
-0.568627;0.69444
-0.529412;0.702018
-0.490196;0.709102
-0.45098;0.715682
-0.411765;0.721748
-0.372549;0.72729
-0.333333;0.732302
-0.294118;0.736776
-0.254902;0.740704
-0.215686;0.744082
-0.176471;0.746905
-0.137255;0.749168
-0.0980392;0.750868
-0.0588235;0.752003
-0.0196078;0.75257
0.0196078;0.75257
0.0588235;0.752003
0.0980392;0.750868
0.137255;0.749168
0.176471;0.746905
0.215686;0.744082
0.254902;0.740704
0.294118;0.736776
0.333333;0.732302
0.372549;0.72729
0.411765;0.721748
0.45098;0.715682
0.490196;0.709102
0.529412;0.702018
0.568627;0.69444
0.607843;0.686379
0.647059;0.677847
0.686275;0.668857
0.72549;0.659422
0.764706;0.649555
0.803922;0.639272
0.843137;0.628588
0.882353;0.617519
0.921569;0.606081
0.960784;0.594292
1;0.58217
1.03922;0.569732
1.07843;0.556998
1.11765;0.543987
1.15686;0.530719
1.19608;0.517214
1.23529;0.503493
1.27451;0.489578
1.31373;0.47549
1.35294;0.461251
1.39216;0.446884
1.43137;0.43241
1.47059;0.417854
1.5098;0.403237
1.54902;0.388584
1.58824;0.373919
1.62745;0.359264
1.66667;0.344643
1.70588;0.330082
1.7451;0.315603
1.78431;0.30123
1.82353;0.286988
1.86275;0.2729
1.90196;0.258989
1.94118;0.245281
1.98039;0.231797
2.01961;0.218562
2.05882;0.205597
2.09804;0.192926
2.13725;0.18057
2.17647;0.168552
2.21569;0.156892
2.2549;0.145612
2.29412;0.134732
2.33333;0.124271
2.37255;0.114248
2.41176;0.104681
2.45098;0.0955883
2.4902;0.0869862
2.52941;0.0788904
2.56863;0.0713158
2.60784;0.0642763
2.64706;0.0577847
2.68627;0.0518528
2.72549;0.0464912
2.76471;0.0417093
2.80392;0.0375152
2.84314;0.0339157
2.88235;0.0309161
2.92157;0.0285205
2.96078;0.0267312
3;0.0255492
3.03922;0.0249736
3.07843;0.0250018
3.11765;0.0256296
3.15686;0.0268509
3.19608;0.0286576
3.23529;0.0310396
3.27451;0.0339848
3.31373;0.0374791
3.35294;0.0415059
3.39216;0.0460467
3.43137;0.0510802
3.47059;0.0565832
3.5098;0.0625296
3.54902;0.0688909
3.58824;0.0756359
3.62745;0.0827307
3.66667;0.0901386
3.70588;0.0978201
3.7451;0.105732
3.78431;0.11383
3.82353;0.122065
3.86275;0.130383
3.90196;0.138732
3.94118;0.147051
3.98039;0.155279
4.01961;0.16335
4.05882;0.171194
4.09804;0.178739
4.13725;0.185908
4.17647;0.19262
4.21569;0.198791
4.2549;0.204331
4.29412;0.209147
4.33333;0.213143
4.37255;0.216215
4.41176;0.21826
4.45098;0.219164
4.4902;0.218814
4.52941;0.217089
4.56863;0.213863
4.60784;0.209008
4.64706;0.202388
4.68627;0.193862
4.72549;0.183286
4.76471;0.170508
4.80392;0.155373
4.84314;0.137718
4.88235;0.117375
4.92157;0.0941722
4.96078;0.0679294
5;0.0384615
