N;Error
2;0.961515
3;0.646228
4;0.828889
5;0.459976
6;0.638618
7;0.31119
8;0.459583
9;1.06021
10;0.319075
11;2.75881
12;0.217688
13;72.6143
14;0.147308
15;5287.44
16;0.0993088
17;93435.1
18;0.0668355
19;1.43461e+06
20;0.0449458
21;9.74306e+06
22;0.0302147
23;2.21414e+09
24;0.0203084
25;1.41013e+10
26;0.013649
27;2.33093e+12
28;0.009173
29;2.86677e+14
30;0.00616472
31;4.06375e+15
32;0.0802426
33;1.45393e+17
34;1.12088
35;1.87118e+19
36;8.78068
37;1.76955e+21
38;528.908
39;1.06193e+22
40;2089.54
41;1.23864e+25
42;116191
43;2.7807e+27
44;2.74459e+06
45;2.78297e+29
46;3.91961e+07
47;4.65146e+31
48;3.42312e+08
49;4.90633e+32
50;7.00319e+09
51;2.5044e+35
52;6.50452e+10
53;1.32865e+39
54;1.01868e+12
55;3.96487e+40
56;6.84e+12
57;5.26582e+43
58;2.33485e+15
59;9.29105e+46
60;1.90958e+16
61;5.30213e+47
62;3.29354e+17
63;1.98066e+50
64;3.72536e+18
65;7.08551e+52
66;1.71555e+20
67;3.54751e+56
68;8.0713e+20
69;9.50088e+58
70;2.32542e+22
71;2.99654e+61
72;9.40614e+23
73;1.77641e+62
74;1.95787e+25
75;4.00051e+66
76;2.50463e+26
77;2.74118e+68
78;8.87364e+27
79;7.41661e+71
80;1.35112e+29
81;2.64804e+73
82;1.39791e+30
83;5.31424e+75
84;2.40143e+31
85;1.5509e+79
86;3.64913e+32
87;9.70569e+79
88;4.51216e+33
89;2.96551e+85
90;2.09801e+34
91;1.60513e+88
92;3.1108e+36
93;6.22091e+91
94;4.47431e+37
95;2.58409e+94
96;3.49237e+38
97;2.72057e+96
98;2.66135e+40
99;9.3997e+99
100;9.11646e+40
101;1.05651e+102
102;2.4305e+43
103;6.82534e+103
104;3.77324e+45
105;1.0904e+110
106;8.98477e+46
107;1.53421e+108
108;2.79991e+47
109;3.46771e+112
110;6.96273e+48
111;8.02634e+115
112;1.23749e+51
113;2.13931e+121
114;1.36689e+53
115;1.27025e+119
116;8.77604e+54
117;1.13414e+127
118;9.8371e+56
119;4.74067e+127
120;4.70559e+58
121;2.09555e+131
122;1.86019e+59
123;8.88469e+133
124;4.30604e+60
125;1.26422e+140
126;1.89215e+62
127;8.58484e+141
128;1.59084e+64
129;1.65315e+144
130;2.48702e+66
131;2.29199e+149
132;1.10853e+68
133;1.48424e+152
134;3.68002e+67
135;2.82435e+154
136;4.13344e+71
137;3.21418e+157
138;3.36479e+71
139;1.29304e+163
140;1.07277e+74
141;5.7013e+165
142;3.51648e+75
143;3.21434e+164
144;2.91904e+76
145;1.8791e+170
146;2.75704e+80
147;8.38088e+173
148;1.61924e+81
149;1.64491e+175
150;6.24883e+82
151;8.2538e+181
152;6.22077e+85
153;3.08225e+181
154;1.93698e+85
155;9.07536e+187
156;5.32798e+89
157;5.30571e+191
158;2.15288e+91
159;2.22327e+192
160;1.31551e+92
161;1.16858e+196
162;7.97943e+94
163;3.47429e+200
164;2.35589e+97
165;9.13906e+203
166;7.66145e+98
167;3.21849e+209
168;1.85927e+100
169;1.8236e+211
170;9.55495e+99
171;9.25471e+212
172;1.63185e+104
173;3.49578e+214
174;7.8117e+106
175;1.18139e+223
176;1.47784e+106
177;5.6057e+222
178;1.6941e+110
179;5.12403e+224
180;1.13108e+112
181;3.31865e+231
182;8.5467e+113
183;1.79329e+234
184;1.00436e+115
185;1.70876e+239
186;5.79979e+118
187;5.01026e+239
188;1.12421e+118
189;1.43679e+246
190;1.04367e+123
191;6.18383e+248
192;3.35489e+124
193;1.41624e+251
194;6.30398e+123
195;2.57346e+257
196;2.26884e+127
197;3.94567e+261
198;1.40628e+131
199;4.1099e+263
200;2.21778e+128
201;2.72473e+267
202;6.11725e+132
203;1.12986e+271
204;2.43436e+134
205;4.55486e+271
206;5.2052e+137
207;4.77742e+276
208;2.04593e+139
209;3.01012e+280
210;1.09946e+139
211;2.59577e+285
212;3.67515e+144
213;1.38937e+286
214;9.25781e+145
215;8.4816e+288
216;3.90836e+145
217;1.26835e+291
218;1.53371e+148
219;7.02428e+299
220;5.08687e+151
221;1.32033e+299
222;1.05369e+156
223;1.6169e+307
224;5.00862e+156
225;inf
226;1.70258e+157
227;inf
228;3.13235e+164
229;inf
230;3.53662e+165
231;inf
232;1.7642e+164
233;inf
234;1.26825e+168
235;inf
236;2.5644e+171
237;inf
238;2.93112e+173
239;inf
240;1.97135e+176
241;inf
242;4.64503e+176
243;inf
244;2.94909e+179
245;inf
246;4.88481e+184
247;inf
248;1.04415e+182
249;inf
250;3.91095e+187
251;inf
252;4.19262e+187
253;inf
254;3.86352e+195
255;inf
