N;Error
2;0.961515
3;0.646228
4;0.70699
5;0.438357
6;0.43267
7;0.616944
8;0.247339
9;1.04517
10;0.300294
11;1.91543
12;0.556723
13;3.6632
14;1.07002
15;7.19484
16;2.10751
17;14.3933
18;4.22424
19;29.1759
20;8.57903
21;59.8129
22;17.596
23;123.547
24;36.41
25;257.144
26;75.8118
27;537.923
28;158.748
29;1129.42
30;333.795
31;2387.28
32;704.128
33;5056.83
34;1494.73
35;10736.8
36;3168.71
37;22881.3
38;6770.77
39;48890
40;14449.5
41;104215
42;30877.3
43;224269
44;66418.7
45;481976
46;142615
47;1.03403e+06
48;305714
49;2.22251e+06
50;659387
51;4.81301e+06
52;1.42703e+06
53;1.04097e+07
54;3.08456e+06
55;2.24876e+07
56;6.65959e+06
57;4.85237e+07
58;1.43623e+07
59;1.04592e+08
60;3.09417e+07
61;2.27089e+08
62;6.74464e+07
63;4.94838e+08
64;1.4691e+08
65;1.07742e+09
66;3.19747e+08
67;2.34411e+09
68;6.95411e+08
69;5.09634e+09
70;1.51137e+09
71;1.10723e+10
72;3.2825e+09
73;2.40398e+10
74;7.12456e+09
75;5.21613e+10
76;1.5454e+10
77;1.1311e+11
78;3.35015e+10
79;2.4513e+11
80;7.27189e+10
81;5.36519e+11
82;1.59565e+11
83;1.17701e+12
84;3.49976e+11
85;2.581e+12
86;7.67285e+11
87;5.65741e+12
88;1.68151e+12
89;1.23958e+13
90;3.68359e+12
91;2.71497e+13
92;8.06641e+12
93;5.9442e+13
94;1.76576e+13
95;1.30097e+14
96;3.86393e+13
97;2.84637e+14
98;8.4524e+13
99;6.22544e+14
100;1.84836e+14
101;1.36115e+15
102;4.04069e+14
103;2.97514e+15
104;8.8306e+14
105;6.50093e+15
106;1.92927e+15
107;1.42008e+16
108;4.21374e+15
109;3.10118e+16
110;9.20068e+15
111;6.77045e+16
112;2.00841e+16
113;1.47772e+17
114;4.38295e+16
115;3.22439e+17
116;9.56248e+16
117;7.0337e+17
118;2.08572e+17
119;1.53396e+18
120;4.54827e+17
121;3.34461e+18
122;9.9151e+17
123;7.29054e+18
124;2.1613e+18
125;1.59214e+19
126;4.74258e+18
127;3.51738e+19
128;1.04774e+19
129;7.76752e+19
130;2.31939e+19
131;1.71675e+20
132;5.11491e+19
133;3.79163e+20
134;1.14e+20
135;8.37572e+20
136;2.49335e+20
137;1.84679e+21
138;5.53352e+20
139;4.09131e+21
140;1.2728e+21
141;8.97782e+21
142;2.71175e+21
143;1.98022e+22
144;6.25347e+21
145;4.40426e+22
146;1.42987e+22
147;1.08443e+23
148;2.9633e+22
149;2.10369e+23
150;6.81475e+22
151;3.94157e+23
152;3.68258e+23
153;1.00614e+24
154;3.66587e+23
155;3.42012e+24
156;3.29238e+24
157;6.01311e+24
158;1.11074e+25
159;2.14654e+25
160;4.06706e+25
161;2.43072e+25
162;2.31489e+26
163;1.34468e+26
164;6.79454e+25
165;4.24119e+26
166;2.30023e+27
167;1.04207e+27
168;1.27894e+27
169;3.98192e+28
170;1.16309e+28
171;1.0284e+29
172;2.01299e+29
173;2.05153e+29
174;8.26409e+29
175;1.75938e+30
176;2.70003e+30
177;6.33969e+30
178;9.64533e+30
179;1.60675e+31
180;2.94054e+31
181;2.45651e+31
182;3.25646e+31
183;8.34507e+31
184;4.63298e+32
185;1.71613e+32
186;1.8163e+33
187;4.03068e+33
188;5.58164e+33
189;1.51391e+34
190;1.46218e+34
191;2.78243e+34
192;8.6334e+34
193;3.263e+35
194;1.79668e+35
195;2.9602e+36
196;9.25602e+35
197;3.0576e+36
198;1.61781e+36
199;1.10467e+37
200;2.72386e+37
201;4.82682e+37
202;8.93834e+37
203;2.34718e+38
204;7.15691e+37
205;9.56643e+38
206;1.36981e+39
207;2.95035e+39
208;1.68634e+40
209;1.25291e+40
210;2.03999e+40
211;4.54708e+40
212;3.58554e+41
213;5.65281e+41
214;5.68933e+41
215;5.38383e+41
216;8.47468e+41
217;4.35091e+42
218;3.16841e+42
219;1.11683e+43
220;2.67428e+43
221;1.33321e+44
222;2.98118e+43
223;2.07861e+44
224;1.40085e+44
225;9.38634e+44
226;3.17376e+45
227;1.51898e+45
228;6.80333e+45
229;1.27613e+46
230;2.16982e+46
231;5.41586e+46
232;2.60784e+46
233;2.55005e+47
234;6.9096e+46
235;1.30348e+47
236;5.76163e+47
237;6.3361e+48
238;4.78042e+48
239;3.89389e+48
240;2.87179e+49
241;3.42372e+49
242;5.05365e+49
243;1.04522e+49
244;1.20281e+51
245;4.62191e+50
246;1.4376e+51
247;4.50386e+51
248;1.06357e+52
249;1.20384e+52
250;3.63887e+52
251;3.8569e+52
252;3.42311e+53
253;7.81309e+52
254;9.79582e+52
255;1.15548e+54
