N;Error
2;0.961515
3;0.646228
4;0.70699
5;0.438357
6;0.43267
7;0.616944
8;0.247339
9;1.04517
10;0.300294
11;1.91543
12;0.556723
13;3.6632
14;1.07002
15;7.19484
16;2.10751
17;14.3933
18;4.22424
19;29.1759
20;8.57903
21;59.8129
22;17.596
23;123.547
24;36.4102
25;257.15
26;75.8108
27;538.038
28;158.6
29;1130.34
30;331.744
31;2396.57
32;632.171
33;6098.82
34;12162.6
35;66515.4
36;298269
37;1.32351e+06
38;1.85072e+07
39;2.99456e+07
40;2.68431e+07
41;8.38842e+08
42;4.66484e+09
43;5.65016e+09
44;1.67961e+11
45;1.88788e+12
46;7.91051e+11
47;6.71772e+13
48;4.23932e+14
49;6.24124e+14
50;4.20128e+14
51;1.21201e+17
52;1.48729e+17
53;1.94928e+18
54;4.02177e+18
55;8.45719e+19
56;2.24986e+19
57;5.66413e+21
58;4.73338e+21
59;2.39435e+22
60;2.0613e+23
61;6.94135e+24
62;5.48821e+24
63;2.31133e+26
64;1.2092e+26
65;6.79753e+27
66;4.25267e+27
67;1.48423e+29
68;1.16089e+29
69;7.72443e+30
70;4.43707e+30
71;2.91506e+32
72;5.23992e+31
73;1.0471e+33
74;1.1468e+33
75;1.35659e+35
76;1.29106e+34
77;2.39153e+36
78;2.81739e+36
79;2.97675e+37
80;5.92308e+37
81;4.52243e+39
82;1.3697e+40
83;5.64151e+40
84;1.85649e+41
85;5.04728e+42
86;2.54945e+42
87;1.69869e+44
88;1.27512e+44
89;2.26427e+45
90;3.02268e+45
91;1.5085e+47
92;5.27215e+46
93;8.27237e+49
94;2.33231e+48
95;1.15581e+50
96;1.13698e+49
97;4.3438e+52
98;1.48019e+53
99;7.10658e+53
100;3.45302e+54
101;1.63269e+57
102;7.33627e+55
103;3.8778e+58
104;4.60463e+57
105;2.65273e+60
106;2.7513e+59
107;7.38882e+61
108;1.50819e+61
109;3.02619e+63
110;2.66482e+62
111;5.83405e+65
112;3.60313e+65
113;2.43379e+67
114;2.2445e+67
115;5.03714e+69
116;6.29046e+69
117;1.44079e+72
118;1.0433e+72
119;1.3758e+74
120;2.51461e+72
121;5.75923e+74
122;3.09697e+76
123;4.51308e+76
124;6.89837e+76
125;1.46345e+78
126;1.21877e+79
127;3.29418e+81
128;8.95675e+79
129;2.38229e+80
130;2.85224e+83
131;4.54006e+84
132;3.19917e+85
133;1.24694e+87
134;5.57318e+88
135;4.5864e+88
136;3.37152e+89
137;3.99382e+91
138;7.57872e+91
139;2.12923e+93
140;4.28629e+92
141;5.70184e+94
142;1.01491e+95
143;3.02429e+97
144;1.00282e+98
145;2.34274e+101
146;8.30806e+98
147;2.95914e+100
148;3.03693e+101
149;5.51712e+105
150;2.5815e+103
151;2.76779e+104
152;1.29482e+107
153;1.1477e+110
154;5.59727e+106
155;8.88312e+107
156;1.1363e+109
157;1.22073e+113
158;1.20334e+114
159;1.86802e+114
160;2.77201e+115
161;3.76454e+118
162;2.08472e+115
163;5.45358e+120
164;7.06525e+122
165;1.37701e+124
166;7.71729e+120
167;1.76578e+125
168;1.1127e+127
169;8.77758e+127
170;2.9059e+125
171;3.47757e+129
172;1.97629e+128
173;8.70898e+131
174;4.25605e+134
175;3.16864e+132
176;8.29064e+134
177;6.49208e+133
178;1.13649e+135
179;2.99947e+141
180;3.6232e+140
181;1.03752e+138
182;3.6427e+140
183;1.42091e+141
184;2.08991e+145
185;1.34023e+149
186;1.3568e+149
187;7.72459e+149
188;9.02465e+147
189;5.11905e+153
190;1.07744e+154
191;1.33559e+156
192;1.46218e+157
193;7.18693e+159
194;3.46679e+158
195;1.40483e+161
196;6.41249e+158
197;9.29341e+163
198;3.63522e+160
199;1.66737e+162
200;6.67631e+162
201;2.6397e+168
202;2.17919e+169
203;3.19531e+170
204;8.53762e+172
205;3.69059e+174
206;5.70438e+172
207;2.05941e+174
208;2.79952e+177
209;2.51865e+177
210;2.42446e+178
211;3.01542e+182
212;6.50225e+178
213;4.71512e+184
214;1.41595e+185
215;6.3293e+186
216;1.13461e+188
217;4.9862e+187
218;1.20164e+186
219;6.00931e+188
220;2.67176e+193
221;3.41354e+193
222;2.21497e+197
223;2.14845e+198
224;4.85099e+198
225;6.53108e+196
226;2.98278e+199
227;5.9337e+199
228;1.37861e+203
229;8.74972e+205
230;1.59126e+207
231;1.74842e+209
232;1.18553e+208
233;1.97229e+207
234;5.36922e+211
235;3.02406e+214
236;1.37487e+214
237;2.72209e+213
238;1.08176e+217
239;8.66709e+220
240;2.3658e+217
241;3.16044e+223
242;8.89802e+219
243;8.645e+224
244;1.93183e+221
245;4.71244e+224
246;9.57484e+228
247;4.0993e+222
248;1.09429e+225
249;8.33749e+232
250;1.87006e+231
251;1.38139e+233
252;8.69314e+234
253;2.66067e+239
254;3.2054e+240
255;1.45057e+242
