x;y
-5;0.0384615
-4.99949;0.038469
-4.99798;0.0384914
-4.99545;0.0385289
-4.99192;0.0385814
-4.98738;0.038649
-4.98182;0.0387318
-4.97527;0.03883
-4.9677;0.0389437
-4.95914;0.0390731
-4.94957;0.0392184
-4.939;0.0393799
-4.92743;0.0395577
-4.91487;0.0397521
-4.90131;0.0399635
-4.88676;0.0401922
-4.87123;0.0404386
-4.85471;0.040703
-4.83721;0.040986
-4.81873;0.0412879
-4.79928;0.0416093
-4.77886;0.0419507
-4.75747;0.0423127
-4.73513;0.042696
-4.71182;0.0431011
-4.68757;0.0435289
-4.66236;0.04398
-4.63622;0.0444553
-4.60913;0.0449557
-4.58112;0.0454822
-4.55218;0.0460356
-4.52232;0.0466171
-4.49154;0.0472278
-4.45986;0.0478689
-4.42728;0.0485418
-4.3938;0.0492477
-4.35944;0.0499883
-4.32419;0.0507649
-4.28807;0.0515795
-4.25109;0.0524336
-4.21324;0.0533294
-4.17454;0.0542687
-4.135;0.055254
-4.09463;0.0562874
-4.05342;0.0573715
-4.0114;0.0585091
-3.96857;0.0597031
-3.92493;0.0609566
-3.88051;0.062273
-3.83529;0.0636558
-3.78931;0.0651091
-3.74255;0.0666369
-3.69504;0.0682438
-3.64679;0.0699346
-3.5978;0.0717147
-3.54808;0.0735898
-3.49764;0.0755659
-3.4465;0.0776498
-3.39466;0.0798487
-3.34213;0.0821704
-3.28893;0.0846235
-3.23506;0.0872172
-3.18054;0.0899616
-3.12538;0.0928677
-3.06959;0.0959475
-3.01317;0.0992141
-2.95615;0.102682
-2.89853;0.106366
-2.84032;0.110285
-2.78154;0.114456
-2.7222;0.118901
-2.66231;0.123642
-2.60188;0.128704
-2.54092;0.134115
-2.47945;0.139905
-2.41748;0.146109
-2.35502;0.152762
-2.29209;0.159906
-2.22869;0.167587
-2.16484;0.175854
-2.10056;0.184763
-2.03585;0.194376
-1.97073;0.20476
-1.90521;0.215992
-1.8393;0.228153
-1.77302;0.241335
-1.70639;0.255639
-1.63941;0.271174
-1.5721;0.28806
-1.50447;0.306426
-1.43654;0.326409
-1.36831;0.348155
-1.29982;0.371813
-1.23105;0.397536
-1.16204;0.42547
-1.0928;0.455746
-1.02333;0.488471
-0.953657;0.523708
-0.883791;0.561455
-0.813747;0.601618
-0.743538;0.643978
-0.673179;0.688151
-0.602683;0.733553
-0.532066;0.779366
-0.461342;0.824514
-0.390524;0.867672
-0.319627;0.907308
-0.248666;0.941766
-0.177654;0.969405
-0.106607;0.988763
-0.0355381;0.998739
0.0355381;0.998739
0.106607;0.988763
0.177654;0.969405
0.248666;0.941766
0.319627;0.907308
0.390524;0.867672
0.461342;0.824514
0.532066;0.779366
0.602683;0.733553
0.673179;0.688151
0.743538;0.643978
0.813747;0.601618
0.883791;0.561455
0.953657;0.523708
1.02333;0.488471
1.0928;0.455746
1.16204;0.42547
1.23105;0.397536
1.29982;0.371813
1.36831;0.348155
1.43654;0.326409
1.50447;0.306426
1.5721;0.28806
1.63941;0.271174
1.70639;0.255639
1.77302;0.241335
1.8393;0.228153
1.90521;0.215992
1.97073;0.20476
2.03585;0.194376
2.10056;0.184763
2.16484;0.175854
2.22869;0.167587
2.29209;0.159906
2.35502;0.152762
2.41748;0.146109
2.47945;0.139905
2.54092;0.134115
2.60188;0.128704
2.66231;0.123642
2.7222;0.118901
2.78154;0.114456
2.84032;0.110285
2.89853;0.106366
2.95615;0.102682
3.01317;0.0992141
3.06959;0.0959475
3.12538;0.0928677
3.18054;0.0899616
3.23506;0.0872172
3.28893;0.0846235
3.34213;0.0821704
3.39466;0.0798487
3.4465;0.0776498
3.49764;0.0755659
3.54808;0.0735898
3.5978;0.0717147
3.64679;0.0699346
3.69504;0.0682438
3.74255;0.0666369
3.78931;0.0651091
3.83529;0.0636558
3.88051;0.062273
3.92493;0.0609566
3.96857;0.0597031
4.0114;0.0585091
4.05342;0.0573715
4.09463;0.0562874
4.135;0.055254
4.17454;0.0542687
4.21324;0.0533294
4.25109;0.0524336
4.28807;0.0515795
4.32419;0.0507649
4.35944;0.0499883
4.3938;0.0492477
4.42728;0.0485418
4.45986;0.0478689
4.49154;0.0472278
4.52232;0.0466171
4.55218;0.0460356
4.58112;0.0454822
4.60913;0.0449557
4.63622;0.0444553
4.66236;0.04398
4.68757;0.0435289
4.71182;0.0431011
4.73513;0.042696
4.75747;0.0423127
4.77886;0.0419507
4.79928;0.0416093
4.81873;0.0412879
4.83721;0.040986
4.85471;0.040703
4.87123;0.0404386
4.88676;0.0401922
4.90131;0.0399635
4.91487;0.0397521
4.92743;0.0395577
4.939;0.0393799
4.94957;0.0392184
4.95914;0.0390731
4.9677;0.0389437
4.97527;0.03883
4.98182;0.0387318
4.98738;0.038649
4.99192;0.0385814
4.99545;0.0385289
4.99798;0.0384914
4.99949;0.038469
5;0.0384615
