x;y
-5;0.0384615
-4.97069;0.0388988
-4.8831;0.04025
-4.73827;0.0426418
-4.53788;0.0463127
-4.28429;0.051666
-3.98047;0.059368
-3.62998;0.0705381
-3.23693;0.0871253
-2.80594;0.112698
-2.34204;0.154198
-1.85069;0.225986
-1.33764;0.358515
-0.80891;0.604472
-0.270695;0.931727
0.270695;0.931727
0.80891;0.604472
1.33764;0.358515
1.85069;0.225986
2.34204;0.154198
2.80594;0.112698
3.23693;0.0871253
3.62998;0.0705381
3.98047;0.059368
4.28429;0.051666
4.53788;0.0463127
4.73827;0.0426418
4.8831;0.04025
4.97069;0.0388988
5;0.0384615
