x;y
-5;0.0384615
-4.96078;0.211151
-4.92157;0.345051
-4.88235;0.445414
-4.84314;0.516988
-4.80392;0.564051
-4.76471;0.590444
-4.72549;0.599608
-4.68627;0.594609
-4.64706;0.57817
-4.60784;0.552699
-4.56863;0.520312
-4.52941;0.482861
-4.4902;0.441951
-4.45098;0.398967
-4.41176;0.355092
-4.37255;0.311324
-4.33333;0.268496
-4.29412;0.227293
-4.2549;0.188263
-4.21569;0.151836
-4.17647;0.118335
-4.13725;0.087988
-4.09804;0.0609405
-4.05882;0.0372654
-4.01961;0.0169729
-3.98039;1.96417e-05
-3.94118;-0.0136837
-3.90196;-0.0242645
-3.86275;-0.031881
-3.82353;-0.0367169
-3.78431;-0.0389749
-3.7451;-0.0388722
-3.70588;-0.0366353
-3.66667;-0.0324967
-3.62745;-0.0266905
-3.58824;-0.0194497
-3.54902;-0.011003
-3.5098;-0.00157273
-3.47059;0.00862743
-3.43137;0.0193943
-3.39216;0.0305364
-3.35294;0.0418756
-3.31373;0.0532476
-3.27451;0.0645028
-3.23529;0.075507
-3.19608;0.0861413
-3.15686;0.0963026
-3.11765;0.105903
-3.07843;0.114872
-3.03922;0.12315
-3;0.130697
-2.96078;0.137483
-2.92157;0.143495
-2.88235;0.14873
-2.84314;0.153199
-2.80392;0.156923
-2.76471;0.159935
-2.72549;0.162275
-2.68627;0.163995
-2.64706;0.165151
-2.60784;0.165809
-2.56863;0.166039
-2.52941;0.165916
-2.4902;0.16552
-2.45098;0.164933
-2.41176;0.164239
-2.37255;0.163524
-2.33333;0.162875
-2.29412;0.162376
-2.2549;0.162114
-2.21569;0.16217
-2.17647;0.162626
-2.13725;0.163558
-2.09804;0.16504
-2.05882;0.167142
-2.01961;0.169928
-1.98039;0.173456
-1.94118;0.177781
-1.90196;0.182951
-1.86275;0.189006
-1.82353;0.195982
-1.78431;0.203906
-1.7451;0.2128
-1.70588;0.222677
-1.66667;0.233547
-1.62745;0.245407
-1.58824;0.258252
-1.54902;0.272068
-1.5098;0.286834
-1.47059;0.302523
-1.43137;0.319102
-1.39216;0.336529
-1.35294;0.35476
-1.31373;0.373742
-1.27451;0.393419
-1.23529;0.413728
-1.19608;0.434603
-1.15686;0.455972
-1.11765;0.477761
-1.07843;0.499891
-1.03922;0.522281
-1;0.544847
-0.960784;0.567503
-0.921569;0.590162
-0.882353;0.612734
-0.843137;0.63513
-0.803922;0.65726
-0.764706;0.679035
-0.72549;0.700367
-0.686275;0.721167
-0.647059;0.74135
-0.607843;0.760831
-0.568627;0.779531
-0.529412;0.79737
-0.490196;0.814273
-0.45098;0.830169
-0.411765;0.84499
-0.372549;0.858674
-0.333333;0.871162
-0.294118;0.882402
-0.254902;0.892344
-0.215686;0.900946
-0.176471;0.908172
-0.137255;0.913991
-0.0980392;0.918376
-0.0588235;0.921311
-0.0196078;0.922781
0.0196078;0.922781
0.0588235;0.921311
0.0980392;0.918376
0.137255;0.913991
0.176471;0.908172
0.215686;0.900946
0.254902;0.892344
0.294118;0.882402
0.333333;0.871162
0.372549;0.858674
0.411765;0.84499
0.45098;0.830169
0.490196;0.814273
0.529412;0.79737
0.568627;0.779531
0.607843;0.760831
0.647059;0.74135
0.686275;0.721167
0.72549;0.700367
0.764706;0.679035
0.803922;0.65726
0.843137;0.63513
0.882353;0.612734
0.921569;0.590162
0.960784;0.567503
1;0.544847
1.03922;0.522281
1.07843;0.499891
1.11765;0.477761
1.15686;0.455972
1.19608;0.434603
1.23529;0.413728
1.27451;0.393419
1.31373;0.373742
1.35294;0.35476
1.39216;0.336529
1.43137;0.319102
1.47059;0.302523
1.5098;0.286834
1.54902;0.272068
1.58824;0.258252
1.62745;0.245407
1.66667;0.233547
1.70588;0.222677
1.7451;0.2128
1.78431;0.203906
1.82353;0.195982
1.86275;0.189006
1.90196;0.182951
1.94118;0.177781
1.98039;0.173456
2.01961;0.169928
2.05882;0.167142
2.09804;0.16504
2.13725;0.163558
2.17647;0.162626
2.21569;0.16217
2.2549;0.162114
2.29412;0.162376
2.33333;0.162875
2.37255;0.163524
2.41176;0.164239
2.45098;0.164933
2.4902;0.16552
2.52941;0.165916
2.56863;0.166039
2.60784;0.165809
2.64706;0.165151
2.68627;0.163995
2.72549;0.162275
2.76471;0.159935
2.80392;0.156923
2.84314;0.153199
2.88235;0.14873
2.92157;0.143495
2.96078;0.137483
3;0.130697
3.03922;0.12315
3.07843;0.114872
3.11765;0.105903
3.15686;0.0963026
3.19608;0.0861413
3.23529;0.075507
3.27451;0.0645028
3.31373;0.0532476
3.35294;0.0418756
3.39216;0.0305364
3.43137;0.0193943
3.47059;0.00862743
3.5098;-0.00157273
3.54902;-0.011003
3.58824;-0.0194497
3.62745;-0.0266905
3.66667;-0.0324967
3.70588;-0.0366353
3.7451;-0.0388722
3.78431;-0.0389749
3.82353;-0.0367169
3.86275;-0.031881
3.90196;-0.0242645
3.94118;-0.0136837
3.98039;1.96417e-05
4.01961;0.0169729
4.05882;0.0372654
4.09804;0.0609405
4.13725;0.087988
4.17647;0.118335
4.21569;0.151836
4.2549;0.188263
4.29412;0.227293
4.33333;0.268496
4.37255;0.311324
4.41176;0.355092
4.45098;0.398967
4.4902;0.441951
4.52941;0.482861
4.56863;0.520312
4.60784;0.552699
4.64706;0.57817
4.68627;0.594609
4.72549;0.599608
4.76471;0.590444
4.80392;0.564051
4.84314;0.516988
4.88235;0.445414
4.92157;0.345051
4.96078;0.211151
5;0.0384615
